station_id,coordinates_lon,coordinates_lat,type,addressStreet,addressZipCode,bikesAvailable,docksAvailable,name,timeZone,totalDocks,total_num_rides,std_rides,station_lat,station_lon,start_num_rides,end_num_rides,st_per_in,ed_per_in,st_per_out,ed_per_out,ttl_per
3078,-75.17192,39.95355,Point,1901 Market St.,19103,12,6,19th & Market,Eastern Standard Time,18,5285,-0.74,39.95355,-75.17192,2599,2686,49.2%,50.8%,0.40%,0.41%,0.40%
3086,-75.16691,39.94019,Point,1406 Christian Street,19146,11,10,Broad & Christian,Eastern Standard Time,21,10056,-0.25,39.94019,-75.16691,5119,4937,50.9%,49.1%,0.78%,0.76%,0.77%
3088,-75.1418,39.96984,Point,317 W. Girard Ave. ,19125,16,4,3rd & Girard,Eastern Standard Time,20,4918,-0.78,39.96984,-75.14180,2299,2619,46.7%,53.3%,0.35%,0.40%,0.38%
3093,-75.18701,39.98837,Point,2039 N. 33rd Street,19121,8,13,33rd & Diamond,Eastern Standard Time,21,2278,-1.05,39.98837,-75.18701,1205,1073,52.9%,47.1%,0.18%,0.17%,0.17%
3095,-75.18052,39.98771,Point,2039 N. 29th Street,19121,3,19,29th & Diamond,Eastern Standard Time,22,3445,-0.93,39.98771,-75.18052,1765,1680,51.2%,48.8%,0.27%,0.26%,0.26%
3096,-75.17975,39.99119,Point,2301 N. 29th Street,19132,3,16,29th & Dauphin,Eastern Standard Time,19,2587,-1.02,39.99119,-75.17975,1363,1224,52.7%,47.3%,0.21%,0.19%,0.20%
3097,-75.13339,39.97888,Point,1902 N. Front Street,19122,6,16,"Berks Station, MFL",Eastern Standard Time,23,4260,-0.84,39.97888,-75.13339,1928,2332,45.3%,54.7%,0.29%,0.36%,0.33%
3098,-75.16042,39.93431,Point,1201 S. 10th Street,19147,19,0,10th & Federal,Eastern Standard Time,19,6802,-0.58,39.93431,-75.16042,3170,3632,46.6%,53.4%,0.48%,0.56%,0.52%
3099,-75.15094,39.93401,Point,1110 S. 4th Street,19147,11,8,4th & Washington,Eastern Standard Time,19,5329,-0.73,39.93401,-75.15094,2543,2786,47.7%,52.3%,0.39%,0.43%,0.41%
3100,-75.15103,39.92777,Point,1600 E. Moyamensing,19148,13,10,Moyamensing & Tasker,Eastern Standard Time,23,9979,-0.25,39.92777,-75.15103,4568,5411,45.8%,54.2%,0.70%,0.83%,0.76%
